date,high,low,open,volume,adj_close,rolling_ma,RSI,MACD,Signal_Line,MACD_Histogram,SMA_20,upper_band,lower_band,year,month,day,weekday,Fourier_Sin_7,Fourier_Cos_7,Fourier_Sin_30,Fourier_Cos_30
1980-12-30,0.1210467018017582,0.1206174939870834,0.1210467018017582,68880000,0.1206174939870834,0.1100435298928607,77.87849064904569,0.0050388524634002,0.0018143154549295,0.0032245370084706,0.1048085535096187,0.1298927870379485,0.0797243199812888,1980,12,30,1,0.7818314824680529,0.6234898018587046,0.8660254037844402,0.4999999999999974
1980-12-31,0.1176129940304219,0.1171837747097015,0.1176129940304219,35750400,0.1171837747097015,0.1113417562231954,68.13713384167497,0.0053615770712171,0.0025237677781871,0.00283780929303,0.1059871460048647,0.1308433044247971,0.0811309875849323,1980,12,31,2,0.9749279121818232,-0.2225209339563157,0.9510565162951504,0.309016994374957
1981-01-02,0.1193298824571704,0.1184714436531066,0.1184714436531066,21660800,0.1184714436531066,0.1126380630286338,69.77313059018472,0.0056560434224426,0.0031502229070382,0.0025058205154043,0.1071761267332687,0.1318772502176083,0.082475003248929,1981,1,2,4,0.9749279121818236,-0.2225209339563143,0.4067366430758001,0.9135454576426008
1981-01-05,0.1163253284981982,0.1158961206674575,0.1163253284981982,35728000,0.1158961206674575,0.1132304371447836,62.38167429555623,0.0056168554717276,0.003643549419976,0.0019733060517515,0.1080066023460486,0.1319545584069715,0.0840586462851256,1981,1,5,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
1981-01-06,0.1111739638336704,0.1107447445392608,0.1111739638336704,45158400,0.1107447445392608,0.1127784930346885,50.12583885081049,0.0051112069249383,0.0039370809209685,0.0011741260039698,0.1082673777930211,0.1309772517023965,0.0855575038836458,1981,1,6,1,-0.7818314824680299,0.6234898018587334,0.9510565162951536,0.3090169943749474
1981-01-07,0.1064525680901653,0.1060233488678932,0.1064525680901653,55686400,0.1060233488678932,0.1115502850043621,41.50283300655947,0.0042801606090834,0.0040056968585915,0.0002744637504918,0.1080536607525328,0.129597636445497,0.0865096850595686,1981,1,7,2,-2.4492935982947064e-16,1.0,0.9945218953682732,0.1045284632676534
1981-01-08,0.1043065437953971,0.1038773357868194,0.1043065437953971,39827200,0.1038773357868194,0.1101552033284452,38.068280488922014,0.003409087259891,0.0038863749388514,-0.0004772876789603,0.1076559155177029,0.1282297125867195,0.0870821184486864,1981,1,8,3,0.7818314824680296,0.6234898018587337,0.9945218953682734,-0.1045284632676533
1981-01-09,0.1098863247211355,0.1094571053981781,0.1094571053981781,21504000,0.1094571053981781,0.110028276432033,50.38595818409896,0.0031328822144511,0.0037356763939713,-0.0006027941795202,0.1078274574110815,0.1273672106419881,0.0882877041801749,1981,1,9,4,0.9749279121818236,-0.2225209339563141,0.9510565162951536,-0.3090169943749473
1981-01-12,0.1094571440439755,0.1085987165570259,0.1094571440439755,23699200,0.1085987165570259,0.109768356454759,48.6677619005198,0.002812304425545,0.0035510020002861,-0.000738697574741,0.1079009106630762,0.1264458443844469,0.0893559769417055,1981,1,12,0,-0.9749279121818236,-0.2225209339563148,0.5877852522924732,-0.8090169943749473
1981-01-13,0.1051649514213722,0.1047357320785522,0.1051649514213722,23049600,0.1047357320785522,0.1088533338409032,41.34645890624501,0.0022209321319591,0.0032849880266207,-0.0010640558946615,0.1075994650835977,0.1253076836448776,0.0898912465223178,1981,1,13,1,-0.781831482468029,0.6234898018587346,0.4067366430758,-0.913545457642601
1981-01-14,0.1055941419997362,0.105164922773838,0.105164922773838,14291200,0.105164922773838,0.1081827136468913,42.45619778683549,0.0017665339274123,0.002981297206779,-0.0012147632793667,0.1073676039112397,0.1242479290280016,0.0904872787944778,1981,1,14,2,-4.898587196589413e-16,1.0,0.2079116908177593,-0.9781476007338056
1981-01-15,0.1081694749247273,0.1073110476136207,0.1073110476136207,14067200,0.1073110476136207,0.1080242289135694,48.11965954756253,0.0015615933392467,0.0026973564332725,-0.0011357630940258,0.1073622175971807,0.1233965989311058,0.0913278362632557,1981,1,15,3,0.7818314824680284,0.6234898018587354,5.66553889764798e-16,-1.0
1981-01-16,0.1068817960735372,0.106452576816082,0.1068817960735372,13395200,0.106452576816082,0.1077384739867535,46.02876931836,0.0013147494149345,0.0024208350296049,-0.0011060856146704,0.107275585141838,0.1225201705184916,0.0920309997651843,1981,1,16,4,0.9749279121818236,-0.2225209339563138,-0.207911690817759,-0.9781476007338056
1981-01-19,0.1133200589092559,0.1128908395767211,0.1128908395767211,41574400,0.1128908395767211,0.108675267730384,60.777016061027616,0.0016199638891575,0.0022606608015154,-0.0006406969123579,0.1078103712784935,0.1226903442900709,0.0929303982669161,1981,1,19,0,-0.9749279121818236,-0.222520933956315,-0.743144825477394,-0.6691306063588585
1981-01-20,0.1098863247211355,0.1094571053981781,0.1098863247211355,30083200,0.1094571053981781,0.1088174200336193,52.027967711918166,0.0015667147947287,0.0021218716001581,-0.0005551568054293,0.1079672030994158,0.1221452563327749,0.0937891498660568,1981,1,20,1,-0.7818314824680302,0.6234898018587329,-0.8660254037844385,-0.5000000000000004
1981-01-21,0.1124616502192025,0.1116032227873802,0.1116032227873802,15904000,0.1116032227873802,0.1093239296252121,56.53975222799062,0.0016783413666684,0.0020331655534602,-0.0003548241867917,0.1083134906887458,0.1219690094924325,0.094657971885059,1981,1,21,2,-7.34788079488412e-16,1.0,-0.9510565162951536,-0.3090169943749475
1981-01-22,0.1137492782417907,0.1128908395767211,0.1128908395767211,35548800,0.1128908395767211,0.1099724587073047,59.19643331010589,0.0018493875544698,0.0019964099536621,-0.0001470223991922,0.1087494286780768,0.1220227472701366,0.0954761100860169,1981,1,22,3,0.7818314824680271,0.6234898018587369,-0.9945218953682732,-0.1045284632676542
1981-01-23,0.1133200126905764,0.1124615743756294,0.1128907935331029,11222400,0.1124615743756294,0.1104250251924546,57.83644316534122,0.0019280790809568,0.001982743779121,-5.466469816422896e-05,0.109102966363558,0.1219205080031556,0.0962854247239603,1981,1,23,4,0.9749279121818238,-0.2225209339563136,-0.9945218953682734,0.1045284632676529
1981-01-26,0.1111739638336704,0.1107447445392608,0.1111739638336704,24640000,0.1107447445392608,0.110483155982783,52.2923807483936,0.0018308044884832,0.0019523559209935,-0.0001215514325102,0.1092593261898154,0.1214873313890467,0.0970313209905841,1981,1,26,0,-0.9749279121818242,-0.2225209339563118,-0.743144825477394,0.6691306063588585
1981-01-27,0.1107447605976133,0.1098863333463668,0.1107447605976133,23699200,0.1098863333463668,0.1103746427761619,49.5520428067694,0.0016652510859613,0.0018949349539871,-0.0002296838680257,0.109319041157106,0.1209531540719924,0.0976849282422196,1981,1,27,1,-0.7818314824680304,0.6234898018587328,-0.5877852522924734,0.8090169943749473
1981-01-28,0.1068817960735372,0.106452576816082,0.1068817960735372,28156800,0.106452576816082,0.1096615398743292,39.901048660292176,0.0012426488840087,0.0017644777399914,-0.0005218288559826,0.109046044553199,0.1202439941763753,0.0978480949300226,1981,1,28,2,-9.797174393178826e-16,1.0,-0.4067366430758001,0.913545457642601
1981-01-29,0.103018886269982,0.1025896668434143,0.103018886269982,43904000,0.1025896668434143,0.1083757447777992,31.849105157562136,0.0005892366894,0.0015294295298731,-0.0009401928404731,0.1084311514379814,0.1197695349410023,0.0970927679349604,1981,1,29,3,0.7818314824680291,0.6234898018587344,-0.2079116908177589,0.9781476007338056
