,open,adj_close,rolling_ma,RSI,MACD,Signal_Line,MACD_Histogram,SMA_20,upper_band,lower_band
0,0.0940045628681454,0.0935753434896469,0.0977894535118883,0.0,-0.0004108723921653,-8.217447843307247e-05,-0.0003286979137322,0.0982353910803794,0.1055194096375626,0.0909513725231963
1,0.0871363213524035,0.0867071077227592,0.0957744815502285,0.0,-0.0012759921065518,-0.0003209380040568,-0.000955054102495,0.0971374593320347,0.1102734578875886,0.0840014607764807
2,0.0888532027602195,0.0888532027602195,0.0945160672247723,17.933107970736174,-0.0017680527674669,-0.0006103609567388,-0.001157691810728,0.0963484825156713,0.1093575869770508,0.0833393780542918
3,0.0914292186498642,0.0914292186498642,0.0939548220293344,34.260880464052065,-0.0019279274847653,-0.0008738742623441,-0.0010540532224211,0.0958799811951182,0.1077711569160495,0.083988805474187
4,0.0970090627670288,0.0970090627670288,0.094510138527097,56.09361286714645,-0.0015860990005413,-0.0010163192099835,-0.0005697797905577,0.0959875127733954,0.1065793463477028,0.085395679199088
5,0.1017304584383964,0.1017304584383964,0.0958229239655151,66.84434532747812,-0.0009235739066323,-0.0009977701493133,7.419624268098198e-05,0.096534459979586,0.1069717727137099,0.0860971472454621
6,0.1060233488678932,0.1060233488678932,0.0976775466750384,73.62075962687584,-5.152368305001709e-05,-0.0008085208560606,0.0007569971730106,0.0974381636832343,0.1090470998500272,0.0858292275164415
7,0.1116032227873802,0.1116032227873802,0.1002094877863733,79.80960516124662,0.001077411861004,-0.0004313343126477,0.0015087461736517,0.0987872169312482,0.1131500509499323,0.0844243829125641
8,0.1219051182270049,0.121905118227005,0.1041541478664881,86.53785676581312,0.0027714309478426,0.0002092187394503,0.0025622122083923,0.1009889218165584,0.121254603946693,0.0807232396864237
9,0.1236220151185989,0.1236220151185989,0.1076937600941446,87.3485783320795,0.0042040310562582,0.0010081812028119,0.0031958498534463,0.1031444545119908,0.127094530355703,0.0791943786682787
10,0.1210467018017582,0.1206174939870834,0.1100435298928607,77.87849064904569,0.0050388524634002,0.0018143154549295,0.0032245370084706,0.1048085535096187,0.1298927870379485,0.0797243199812888
11,0.1176129940304219,0.1171837747097015,0.1113417562231954,68.13713384167497,0.0053615770712171,0.0025237677781871,0.00283780929303,0.1059871460048647,0.1308433044247971,0.0811309875849323
12,0.1184714436531066,0.1184714436531066,0.1126380630286338,69.77313059018472,0.0056560434224426,0.0031502229070382,0.0025058205154043,0.1071761267332687,0.1318772502176083,0.082475003248929
13,0.1163253284981982,0.1158961206674575,0.1132304371447836,62.38167429555623,0.0056168554717276,0.003643549419976,0.0019733060517515,0.1080066023460486,0.1319545584069715,0.0840586462851256
14,0.1111739638336704,0.1107447445392608,0.1127784930346885,50.12583885081049,0.0051112069249383,0.0039370809209685,0.0011741260039698,0.1082673777930211,0.1309772517023965,0.0855575038836458
15,0.1064525680901653,0.1060233488678932,0.1115502850043621,41.50283300655947,0.0042801606090834,0.0040056968585915,0.0002744637504918,0.1080536607525328,0.129597636445497,0.0865096850595686
16,0.1043065437953971,0.1038773357868194,0.1101552033284452,38.068280488922014,0.003409087259891,0.0038863749388514,-0.0004772876789603,0.1076559155177029,0.1282297125867195,0.0870821184486864
17,0.1094571053981781,0.1094571053981781,0.110028276432033,50.38595818409896,0.0031328822144511,0.0037356763939713,-0.0006027941795202,0.1078274574110815,0.1273672106419881,0.0882877041801749
18,0.1094571440439755,0.1085987165570259,0.109768356454759,48.6677619005198,0.002812304425545,0.0035510020002861,-0.000738697574741,0.1079009106630762,0.1264458443844469,0.0893559769417055
19,0.1051649514213722,0.1047357320785522,0.1088533338409032,41.34645890624501,0.0022209321319591,0.0032849880266207,-0.0010640558946615,0.1075994650835977,0.1253076836448776,0.0898912465223178
20,0.105164922773838,0.105164922773838,0.1081827136468913,42.45619778683549,0.0017665339274123,0.002981297206779,-0.0012147632793667,0.1073676039112397,0.1242479290280016,0.0904872787944778
21,0.1073110476136207,0.1073110476136207,0.1080242289135694,48.11965954756253,0.0015615933392467,0.0026973564332725,-0.0011357630940258,0.1073622175971807,0.1233965989311058,0.0913278362632557
22,0.1068817960735372,0.106452576816082,0.1077384739867535,46.02876931836,0.0013147494149345,0.0024208350296049,-0.0011060856146704,0.107275585141838,0.1225201705184916,0.0920309997651843
23,0.1128908395767211,0.1128908395767211,0.108675267730384,60.777016061027616,0.0016199638891575,0.0022606608015154,-0.0006406969123579,0.1078103712784935,0.1226903442900709,0.0929303982669161
24,0.1098863247211355,0.1094571053981781,0.1088174200336193,52.027967711918166,0.0015667147947287,0.0021218716001581,-0.0005551568054293,0.1079672030994158,0.1221452563327749,0.0937891498660568
25,0.1116032227873802,0.1116032227873802,0.1093239296252121,56.53975222799062,0.0016783413666684,0.0020331655534602,-0.0003548241867917,0.1083134906887458,0.1219690094924325,0.094657971885059
26,0.1128908395767211,0.1128908395767211,0.1099724587073047,59.19643331010589,0.0018493875544698,0.0019964099536621,-0.0001470223991922,0.1087494286780768,0.1220227472701366,0.0954761100860169
27,0.1128907935331029,0.1124615743756294,0.1104250251924546,57.83644316534122,0.0019280790809568,0.001982743779121,-5.466469816422896e-05,0.109102966363558,0.1219205080031556,0.0962854247239603
28,0.1111739638336704,0.1107447445392608,0.110483155982783,52.2923807483936,0.0018308044884832,0.0019523559209935,-0.0001215514325102,0.1092593261898154,0.1214873313890467,0.0970313209905841
29,0.1107447605976133,0.1098863333463668,0.1103746427761619,49.5520428067694,0.0016652510859613,0.0018949349539871,-0.0002296838680257,0.109319041157106,0.1209531540719924,0.0976849282422196
